t (s),acceleration (m/s^2),veh_id,position_x (m),position_y (m),vitesse (m/s)
66.7,1.7916920331073882,f_0.10,187.468750165951,-1.6,12.801403791093128
66.7,1.3594476120779309,f_0.11,-1.5876853147008574,-1.6,3.559396202221214
66.7,1.6665682671730764,f_0.12,-10.892301659673791,-1.6,2.2435476577095406
66.7,1.2091042840767718,f_0.13,-19.40201127408919,-1.6,1.1262578948304784
66.7,0.8046261529904714,f_0.14,-27.34316052864203,-1.6,0.4145562329987356
66.7,0.24374382093405395,f_0.15,-34.97592468711714,-1.6,0.09703643970847398
66.7,0.0477878126632204,f_0.16,-42.50928036816883,-1.6,0.023845287030561862
66.7,-0.004595334831718478,f_0.17,-50.03793224825445,-1.6,0.027624450113918595
66.7,-0.011760780697610412,f_0.18,-57.61188706470241,-1.6,0.07786195753292578
66.7,-0.16546744597420837,f_0.19,-65.31205017260032,-1.6,0.20257796173458328
66.7,-0.4413264177767545,f_0.20,-73.30359176377806,-1.6,0.4965185246697504
66.7,-0.888178106271067,f_0.21,-81.7985245997799,-1.6,0.9360987693269955
66.7,-0.33411076141836693,f_0.22,-90.62078052550878,-1.6,1.2326127201938235
66.8,1.42718553226441,f_0.10,188.76316240038295,-1.6,12.944122344319569
66.8,2.2150877111125755,f_0.11,-1.20959481736761,-1.6,3.7809049733324716
66.8,1.6280665278089312,f_0.12,-10.651666228624748,-1.6,2.4063543104904337
66.8,1.4716631320963214,f_0.13,-19.274668853285178,-1.6,1.2734242080401106
66.8,1.0485115897974255,f_0.14,-27.291219789444185,-1.6,0.5194073919784782
66.8,0.3398067098027657,f_0.15,-34.96282297604827,-1.6,0.13101711068875055
66.8,0.07285121782613198,f_0.16,-42.50616732728751,-1.6,0.03113040881317506
66.8,-0.012180517810899405,f_0.17,-50.035291608421176,-1.6,0.026406398332828655
66.8,-0.06157430257840352,f_0.18,-57.6047166119749,-1.6,0.07170452727508543
66.8,-0.03828239958939106,f_0.19,-65.29217520042278,-1.6,0.19874972177564418
66.8,-0.2694722307995595,f_0.20,-73.25663463361909,-1.6,0.46957130158979443
66.8,-0.29416227819690555,f_0.21,-81.70785634562917,-1.6,0.906682541507305
66.8,-0.28034721880997315,f_0.22,-90.50032272567749,-1.6,1.2045779983128262
66.9,2.31812356908339,f_0.10,190.08075587050575,-1.6,13.175934701227908
66.9,1.6976228522136827,f_0.11,-0.8145280915122264,-1.6,3.95066725855384
66.9,1.854706426500341,f_0.12,-10.392483733310698,-1.6,2.591824953140468
66.9,1.4139955099781032,f_0.13,-19.133186477381386,-1.6,1.414823759037921
66.9,0.7110393088800349,f_0.14,-27.23216865715753,-1.6,0.5905113228664817
66.9,0.38314151616875847,f_0.15,-34.9458898498177,-1.6,0.1693312623056264
66.9,0.09870634751747265,f_0.16,-42.50206722293102,-1.6,0.041001043564922325
66.9,0.0031676697454439615,f_0.17,-50.032619291890434,-1.6,0.02672316530737305
66.9,-0.04561541971235497,f_0.18,-57.59800231344452,-1.6,0.06714298530384993
66.9,-0.13541753651366562,f_0.19,-65.27365440361035,-1.6,0.18520796812427762
66.9,-0.3043210407415514,f_0.20,-73.21272071386753,-1.6,0.4391391975156393
66.9,-0.06213750059428258,f_0.21,-81.61780946648437,-1.6,0.9004687914478767
66.9,-0.1937690855755969,f_0.22,-90.38180261670196,-1.6,1.1852010897552665
67.0,2.0437542491825234,f_0.10,191.41878688312036,-1.6,13.38031012614616
67.0,1.744268575799648,f_0.11,-0.40201867989884565,-1.6,4.125094116133805
67.0,2.5547364915203374,f_0.12,-10.10775387308145,-1.6,2.8472986022925015
67.0,1.5937276985877968,f_0.13,-18.975766824491714,-1.6,1.5741965288967006
67.0,1.2249548128057164,f_0.14,-27.16086797674282,-1.6,0.7130068041470533
67.0,0.5144919964406891,f_0.15,-34.92381180362274,-1.6,0.2207804619496953
67.0,0.12489728084933524,f_0.16,-42.49671814576604,-1.6,0.05349077164985585
67.0,0.023807351993425513,f_0.17,-50.029708901839754,-1.6,0.029103900506715602
67.0,-0.04011942193725013,f_0.18,-57.591689209133506,-1.6,0.06313104311012492
67.0,-0.13624323267602018,f_0.19,-65.25649603912467,-1.6,0.1715836448566756
67.0,-0.22746670545106817,f_0.20,-73.17108146117047,-1.6,0.4163925269705325
67.0,-0.6542242126251152,f_0.21,-81.53430482946584,-1.6,0.8350463701853652
